Gene,List_Name,Cluster,List_Name_2,Group
FCERI mediated MAPK activation,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Nucleotide salvage,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Pyrimidine salvage,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Interferon alpha/beta signaling,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Dectin-2 family,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Prolactin receptor signaling,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Signaling by KIT in disease,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
"Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants",ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Interleukin-20 family signaling,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Adaptive Immune System,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
mRNA Editing,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Interferon Signaling,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Class I MHC mediated antigen processing & presentation,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Detoxification of Reactive Oxygen Species,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
TRAF6 mediated IRF7 activation,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Interleukin-27 signaling,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
CASP8 activity is inhibited,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Dimerization of procaspase-8,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Regulation by c-FLIP,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
Pyrimidine catabolism,ASNP_vs_ASNN,CD14,HIV+AS- vs HIV-AS-,CD14 HIV+AS- vs HIV-AS-
