"","pathway_name","top_level_pathway_name"
"1","ABC transporters in lipid homeostasis","Transport of small molecules"
"2","ABC-family proteins mediated transport","Transport of small molecules"
"3","Aberrant regulation of mitotic exit in cancer due to RB1 defects","Disease"
"4","Abortive elongation of HIV-1 transcript in the absence of Tat","Disease"
"5","Acetylcholine Neurotransmitter Release Cycle","Neuronal System"
"6","Acetylcholine regulates insulin secretion","Metabolism"
"7","Activated NOTCH1 Transmits Signal to the Nucleus","Signal Transduction"
"8","Activated NTRK2 signals through FRS2 and FRS3","Signal Transduction"
"9","Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3","Signal Transduction"
"10","Activated point mutants of FGFR2","Disease"
"11","activated TAK1 mediates p38 MAPK activation","Immune System"
"12","Activation of AMPK downstream of NMDARs","Neuronal System"
"13","Activation of anterior HOX genes in hindbrain development during early embryogenesis","Developmental Biology"
"14","Activation of ATR in response to replication stress","Cell Cycle"
"15","Activation of BAD and translocation to mitochondria ","Programmed Cell Death"
"16","Activation of Ca-permeable Kainate Receptor","Neuronal System"
"17","Activation of G protein gated Potassium channels","Neuronal System"
"18","Activation of gene expression by SREBF (SREBP)","Metabolism"
"19","Activation of Matrix Metalloproteinases","Extracellular matrix organization"
"20","Activation of NF-kappaB in B cells","Immune System"
"21","Activation of PPARGC1A (PGC-1alpha) by phosphorylation","Organelle biogenesis and maintenance"
"22","Activation of RAC1","Developmental Biology"
"23","Activation of SMO","Signal Transduction"
"24","Activation of the AP-1 family of transcription factors","Immune System"
"25","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S","Metabolism of proteins"
"26","Activation of the phototransduction cascade","Sensory Perception"
"27","Activation of the pre-replicative complex","Cell Cycle"
"28","Activation of the pre-replicative complex","DNA Replication"
"29","Activation of the TFAP2 (AP-2) family of transcription factors","Gene expression (Transcription)"
"30","Acyl chain remodelling of PC","Metabolism"
"31","Acyl chain remodelling of PE","Metabolism"
"32","Acyl chain remodelling of PG","Metabolism"
"33","Acyl chain remodelling of PI","Metabolism"
"34","Acyl chain remodelling of PS","Metabolism"
"35","Adenylate cyclase activating pathway","Signal Transduction"
"36","Adenylate cyclase inhibitory pathway","Neuronal System"
"37","Adenylate cyclase inhibitory pathway","Signal Transduction"
"38","Adherens junctions interactions","Cell-Cell communication"
"39","ADORA2B mediated anti-inflammatory cytokines production","Disease"
"40","ADP signalling through P2Y purinoceptor 1","Hemostasis"
"41","ADP signalling through P2Y purinoceptor 12","Hemostasis"
"42","Adrenaline,noradrenaline inhibits insulin secretion","Metabolism"
"43","Advanced glycosylation endproduct receptor signaling","Immune System"
"44","Advanced glycosylation endproduct receptor signaling","Immune System"
"45","Aflatoxin activation and detoxification","Metabolism"
"46","Aflatoxin activation and detoxification","Metabolism"
"47","Aggrephagy","Autophagy"
"48","ALK mutants bind TKIs","Disease"
"49","Alpha-defensins","Immune System"
"50","Alpha-defensins","Immune System"
"51","alpha-linolenic acid (ALA) metabolism","Metabolism"
"52","Alpha-protein kinase 1 signaling pathway","Immune System"
"53","Amine ligand-binding receptors","Signal Transduction"
"54","Amino acid transport across the plasma membrane","Transport of small molecules"
"55","Amino acids regulate mTORC1","Cellular responses to stimuli"
"56","Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal","Cell Cycle"
"57","Amyloid fiber formation","Metabolism of proteins"
"58","Anchoring fibril formation","Extracellular matrix organization"
"59","Anchoring of the basal body to the plasma membrane","Organelle biogenesis and maintenance"
"60","Androgen biosynthesis","Metabolism"
"61","Antigen activates B Cell Receptor (BCR) leading to generation of second messengers","Immune System"
"62","Antigen Presentation: Folding, assembly and peptide loading of class I MHC","Immune System"
"63","Antigen Presentation: Folding, assembly and peptide loading of class I MHC","Immune System"
"64","Antigen processing: Ubiquitination & Proteasome degradation","Immune System"
"65","Antimicrobial peptides","Immune System"
"66","Antimicrobial peptides","Immune System"
"67","APC truncation mutants have impaired AXIN binding","Disease"
"68","APC-Cdc20 mediated degradation of Nek2A","Cell Cycle"
"69","APC/C:Cdc20 mediated degradation of Cyclin B","Cell Cycle"
"70","APC/C:Cdc20 mediated degradation of mitotic proteins","Cell Cycle"
"71","APC/C:Cdc20 mediated degradation of Securin","Cell Cycle"
"72","APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1","Cell Cycle"
"73","Apoptosis induced DNA fragmentation","Programmed Cell Death"
"74","Apoptotic cleavage of cell adhesion  proteins","Programmed Cell Death"
"75","Apoptotic cleavage of cellular proteins","Programmed Cell Death"
"76","Apoptotic execution phase","Programmed Cell Death"
"77","Apoptotic factor-mediated response","Programmed Cell Death"
"78","Asparagine N-linked glycosylation","Metabolism of proteins"
"79","Aspartate and asparagine metabolism","Metabolism"
"80","Aspirin ADME","Drug ADME"
"81","Assembly and cell surface presentation of NMDA receptors","Neuronal System"
"82","Assembly of active LPL and LIPC lipase complexes","Transport of small molecules"
"83","Assembly of collagen fibrils and other multimeric structures","Extracellular matrix organization"
"84","Assembly Of The HIV Virion","Disease"
"85","Assembly Of The HIV Virion","Disease"
"86","Assembly of the ORC complex at the origin of replication","DNA Replication"
"87","Assembly of the pre-replicative complex","DNA Replication"
"88","Association of TriC/CCT with target proteins during biosynthesis","Metabolism of proteins"
"89","Asymmetric localization of PCP proteins","Signal Transduction"
"90","ATF4 activates genes in response to endoplasmic reticulum  stress","Cellular responses to stimuli"
"91","ATF6 (ATF6-alpha) activates chaperone genes","Cellular responses to stimuli"
"92","ATF6 (ATF6-alpha) activates chaperones","Cellular responses to stimuli"
"93","Attachment and Entry","Disease"
"94","Attachment and Entry","Disease"
"95","Attenuation phase","Cellular responses to stimuli"
"96","AUF1 (hnRNP D0) binds and destabilizes mRNA","Metabolism of RNA"
"97","AURKA Activation by TPX2","Cell Cycle"
"98","Autodegradation of Cdh1 by Cdh1:APC/C","Cell Cycle"
"99","Autodegradation of the E3 ubiquitin ligase COP1","Cell Cycle"
"100","Autophagy","Autophagy"
"101","AXIN missense mutants destabilize the destruction complex","Disease"
"102","Azathioprine ADME","Drug ADME"
"103","B-WICH complex positively regulates rRNA expression","Gene expression (Transcription)"
"104","Basigin interactions","Hemostasis"
"105","BBSome-mediated cargo-targeting to cilium","Organelle biogenesis and maintenance"
"106","Beta defensins","Immune System"
"107","Beta-catenin phosphorylation cascade","Signal Transduction"
"108","Beta-oxidation of very long chain fatty acids","Metabolism"
"109","Biosynthesis of DHA-derived SPMs","Metabolism"
"110","Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein","Metabolism of proteins"
"111","Biotin transport and metabolism","Metabolism"
"112","Branched-chain amino acid catabolism","Metabolism"
"113","Budding and maturation of HIV virion","Disease"
"114","Budding and maturation of HIV virion","Disease"
"115","Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA","Metabolism of RNA"
"116","Butyrophilin (BTN) family interactions","Immune System"
"117","Ca2+ pathway","Signal Transduction"
"118","Calcineurin activates NFAT","Immune System"
"119","Calcitonin-like ligand receptors","Signal Transduction"
"120","Calmodulin induced events","Signal Transduction"
"121","Calnexin/calreticulin cycle","Metabolism of proteins"
"122","CaM pathway","Signal Transduction"
"123","CaMK IV-mediated phosphorylation of CREB","Signal Transduction"
"124","Carboxyterminal post-translational modifications of tubulin","Metabolism of proteins"
"125","Cargo concentration in the ER","Metabolism of proteins"
"126","Cargo concentration in the ER","Vesicle-mediated transport"
"127","Cargo recognition for clathrin-mediated endocytosis","Vesicle-mediated transport"
"128","Cargo trafficking to the periciliary membrane","Organelle biogenesis and maintenance"
"129","CASP8 activity is inhibited","Programmed Cell Death"
"130","Caspase activation via Death Receptors in the presence of ligand","Programmed Cell Death"
"131","Caspase activation via Dependence Receptors in the absence of ligand","Programmed Cell Death"
"132","Caspase-mediated cleavage of cytoskeletal proteins","Programmed Cell Death"
"133","CD209 (DC-SIGN) signaling","Immune System"
"134","CD28 dependent PI3K/Akt signaling","Immune System"
"135","CD28 dependent PI3K/Akt signaling","Immune System"
"136","CD28 dependent Vav1 pathway","Immune System"
"137","Cdc20:Phospho-APC/C mediated degradation of Cyclin A","Cell Cycle"
"138","CDC42 GTPase cycle","Signal Transduction"
"139","CDK-mediated phosphorylation and removal of Cdc6","Cell Cycle"
"140","CDK-mediated phosphorylation and removal of Cdc6","DNA Replication"
"141","Cell Cycle","Cell Cycle"
"142","Cell surface interactions at the vascular wall","Hemostasis"
"143","Cell-Cell communication","Cell-Cell communication"
"144","Cell-extracellular matrix interactions","Cell-Cell communication"
"145","Cellular hexose transport","Transport of small molecules"
"146","Cellular response to hypoxia","Cellular responses to stimuli"
"147","Cellular responses to stimuli","Cellular responses to stimuli"
"148","cGMP effects","Hemostasis"
"149","Chaperone Mediated Autophagy","Autophagy"
"150","Chemokine receptors bind chemokines","Signal Transduction"
"151","Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex","Cell Cycle"
"152","Cholesterol biosynthesis","Metabolism"
"153","Chromatin modifying enzymes","Chromatin organization"
"154","Chromatin organization","Chromatin organization"
"155","Chylomicron assembly","Transport of small molecules"
"156","Chylomicron remodeling","Transport of small molecules"
"157","Citric acid cycle (TCA cycle)","Metabolism"
"158","Class A/1 (Rhodopsin-like receptors)","Signal Transduction"
"159","Class B/2 (Secretin family receptors)","Signal Transduction"
"160","Class C/3 (Metabotropic glutamate/pheromone receptors)","Signal Transduction"
"161","Class I peroxisomal membrane protein import","Protein localization"
"162","Clathrin-mediated endocytosis","Vesicle-mediated transport"
"163","Cleavage of the damaged purine","DNA Repair"
"164","Cleavage of the damaged pyrimidine ","DNA Repair"
"165","CLEC7A (Dectin-1) induces NFAT activation","Immune System"
"166","CLEC7A (Dectin-1) signaling","Immune System"
"167","Cohesin Loading onto Chromatin","Cell Cycle"
"168","Collagen biosynthesis and modifying enzymes","Extracellular matrix organization"
"169","Collagen chain trimerization","Extracellular matrix organization"
"170","Collagen degradation","Extracellular matrix organization"
"171","Common Pathway of Fibrin Clot Formation","Hemostasis"
"172","Complex I biogenesis","Metabolism"
"173","Condensation of Prometaphase Chromosomes","Cell Cycle"
"174","Condensation of Prophase Chromosomes","Cell Cycle"
"175","Constitutive Signaling by Aberrant PI3K in Cancer","Disease"
"176","Constitutive Signaling by AKT1 E17K in Cancer","Disease"
"177","Constitutive Signaling by EGFRvIII","Disease"
"178","Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants","Disease"
"179","Constitutive Signaling by NOTCH1 HD Domain Mutants","Disease"
"180","Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants","Disease"
"181","Constitutive Signaling by NOTCH1 PEST Domain Mutants","Disease"
"182","Constitutive Signaling by Overexpressed ERBB2","Disease"
"183","Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase","Cell Cycle"
"184","Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding","Metabolism of proteins"
"185","COPI-dependent Golgi-to-ER retrograde traffic","Vesicle-mediated transport"
"186","COPI-independent Golgi-to-ER retrograde traffic","Vesicle-mediated transport"
"187","COPI-mediated anterograde transport","Metabolism of proteins"
"188","COPI-mediated anterograde transport","Vesicle-mediated transport"
"189","COPII-mediated vesicle transport","Metabolism of proteins"
"190","COPII-mediated vesicle transport","Vesicle-mediated transport"
"191","Creatine metabolism","Metabolism"
"192","CREB1 phosphorylation through the activation of Adenylate Cyclase","Neuronal System"
"193","CREB1 phosphorylation through the activation of CaMKII/CaMKK/CaMKIV cascasde","Neuronal System"
"194","Cristae formation","Organelle biogenesis and maintenance"
"195","CRMPs in Sema3A signaling","Developmental Biology"
"196","Cross-presentation of soluble exogenous antigens (endosomes)","Immune System"
"197","Crosslinking of collagen fibrils","Extracellular matrix organization"
"198","CS/DS degradation","Metabolism"
"199","CTNNB1 S33 mutants aren't phosphorylated","Disease"
"200","CTNNB1 S37 mutants aren't phosphorylated","Disease"
"201","CTNNB1 S45 mutants aren't phosphorylated","Disease"
"202","CTNNB1 T41 mutants aren't phosphorylated","Disease"
"203","Cyclin A:Cdk2-associated events at S phase entry","Cell Cycle"
"204","Cyclin A/B1/B2 associated events during G2/M transition","Cell Cycle"
"205","Cyclin D associated events in G1","Cell Cycle"
"206","Cyclin E associated events during G1/S transition ","Cell Cycle"
"207","Cytochrome P450 - arranged by substrate type","Metabolism"
"208","Cytoprotection by HMOX1","Cellular responses to stimuli"
"209","Cytoprotection by HMOX1","Cellular responses to stimuli"
"210","Cytosolic iron-sulfur cluster assembly","Metabolism"
"211","Cytosolic sensors of pathogen-associated DNA ","Immune System"
"212","Cytosolic sulfonation of small molecules","Metabolism"
"213","Cytosolic tRNA aminoacylation","Metabolism of proteins"
"214","DAG and IP3 signaling","Signal Transduction"
"215","DAP12 interactions","Immune System"
"216","DAP12 signaling","Immune System"
"217","DARPP-32 events","Signal Transduction"
"218","DCC mediated attractive signaling","Developmental Biology"
"219","DDX58/IFIH1-mediated induction of interferon-alpha/beta","Immune System"
