"","complex_name","complex_ID","pathway_ID","top_level_pathway_ID","pathway_name","top_level_pathway_name","species"
"1","ALL","R-ALL-1006146","R-HSA-977606","R-HSA-168256","Regulation of Complement cascade","Immune System","General (all species)"
"2","ALL","R-ALL-113656","R-HSA-113501","R-HSA-1640170","Inhibition of replication initiation of damaged DNA by RB1/E2F1","Cell Cycle","General (all species)"
"3","ALL","R-ALL-2239507","R-HSA-3000480","R-HSA-5653656","Scavenging by Class A Receptors","Vesicle-mediated transport","General (all species)"
"4","ALL","R-ALL-2239507","R-HSA-3000497","R-HSA-5653656","Scavenging by Class H Receptors","Vesicle-mediated transport","General (all species)"
"5","ALL","R-ALL-3132775","R-HSA-9758881","R-HSA-1430728","Uptake of dietary cobalamins into enterocytes","Metabolism","General (all species)"
"6","ALL","R-ALL-5423670","R-HSA-5423646","R-HSA-1430728","Aflatoxin activation and detoxification","Metabolism","General (all species)"
"7","ALL","R-ALL-5607576","R-HSA-1222449","R-HSA-1643685","Mtb iron assimilation by chelation","Disease","General (all species)"
"8","ALL","R-ALL-5607578","R-HSA-1222449","R-HSA-1643685","Mtb iron assimilation by chelation","Disease","General (all species)"
"9","ALL","R-ALL-5607579","R-HSA-1222449","R-HSA-1643685","Mtb iron assimilation by chelation","Disease","General (all species)"
"10","ALL","R-ALL-5690533","R-HSA-75105","R-HSA-1430728","Fatty acyl-CoA biosynthesis","Metabolism","General (all species)"
"11","ALL","R-ALL-5691496","R-HSA-72764","R-HSA-392499","Eukaryotic Translation Termination","Metabolism of proteins","General (all species)"
"12","ALL","R-ALL-6782684","R-HSA-532668","R-HSA-392499","N-glycan trimming in the ER and Calnexin/Calreticulin cycle","Metabolism of proteins","General (all species)"
"13","ALL","R-ALL-6782684","R-HSA-901032","R-HSA-392499","ER Quality Control Compartment (ERQC)","Metabolism of proteins","General (all species)"
"14","ALL","R-ALL-6788991","R-HSA-6803157","R-HSA-168256","Antimicrobial peptides","Immune System","General (all species)"
"15","ALL","R-ALL-6788991","R-HSA-8941413","R-HSA-168256","Events associated with phagocytolytic activity of PMN cells","Immune System","General (all species)"
"16","ALL","R-ALL-6789025","R-HSA-1222556","R-HSA-168256","ROS and RNS production in phagocytes","Immune System","General (all species)"
"17","ALL","R-ALL-6789027","R-HSA-1222556","R-HSA-168256","ROS and RNS production in phagocytes","Immune System","General (all species)"
"18","ALL","R-ALL-6790050","R-HSA-422356","R-HSA-1430728","Regulation of insulin secretion","Metabolism","General (all species)"
"19","ALL","R-ALL-6790051","R-HSA-422356","R-HSA-1430728","Regulation of insulin secretion","Metabolism","General (all species)"
